id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,448961.546984,0.26340799999888986,448961.810392,117,121,125,0.19399457299097844,0.41808933636225193 0.454204359083366 0.41481377807913683 0.38872549561320213 0.3417671646397145 0.3989116554078441 0.3887888565160448 0.3678265888383733 0.2555041082481182 0.10046148311227261 0.03825182837487082 -0.022886681225379995 -0.1424749553367778 -0.19860059289454915 -0.16227759646104786 -0.12987206328858164 -0.06608943185589958 -0.1305438472416301 -0.08282026960955671 -0.0030924437237035514 0.10683565205854105 0.27034969219311233 0.2100515289893309 0.21005152898933094 0.2616066692842628 0.20197537058177994 0.1887871901029619 0.14784310668164324 0.16630085127335223 0.16630085127335237 0.12056617785228455 0.051193757653935246 -0.058692554168532036 -0.1404495742358177 -0.09534410885558389 -0.09534410885558382 -0.05842897735269936 0.06083362005226614 0.057287298218691045 0.05728729821869101 -0.043885554076725244 -0.043885554076725244 -0.03928150060617282 -0.13094816727283945 -0.08242714416714758 -0.13762176269247592 -0.10626879970578931 -0.16163262919489685 -0.19667767006241707 -0.3252245765175232 -0.3349949864459508 -0.40827080641866026 -0.3635438452298142 -0.4126238053729388 -0.4167505482832589 -0.2920177642945889 -0.2926592316892412 -0.23143843456550883,448961.546984 448961.552179 448961.555053 448961.560248 448961.563122 448961.568317 448961.571191 448961.576386 448961.57926 448961.584455 448961.587329 448961.592524 448961.595399 448961.600594 448961.608663 448961.611537 448961.616732 448961.619606 448961.624801 448961.627675 448961.635744 448961.640939 448961.649009 448961.651883 448961.657078 448961.659952 448961.665147 448961.668021 448961.673216 448961.67609 448961.681285 448961.684159 448961.689354 448961.692228 448961.697424 448961.705493 448961.708367 448961.713562 448961.716436 448961.721631 448961.724505 448961.7297 448961.732574 448961.737769 448961.748712 448961.753908 448961.756782 448961.761977 448961.764851 448961.770046 448961.77292 448961.778115 448961.780989 448961.786184 448961.789058 448961.794254 448961.802323 448961.805196
2,448963.015569,0.1504420000128448,448963.166011,161,163,165,0.20998585935395775,0.4173212558101122 0.4438285175367036 0.5001097728878761 0.4951492553642076 0.5200547526414321 0.41516632063759856 0.4587630894583257 0.5273477131717177 0.4534549520118915 0.3050468736445152 0.23537598673941018 0.3369383340699726 0.26531143244338556 0.2114191443380037 0.050367654428513826 0.10413847449470096 -0.013518207881807272 0.040651260423921705 -0.07817117842542137 -0.1493879054466409 -0.17191916897689521 -0.006211044574669107 -0.006211044574669089 -0.09267873323566651 -0.17232177046649766 -0.08804204308917112 0.037524500810066155 -0.022395770862721515 0.10660662805203953 0.04361340854133134 0.1664769484843199 0.11234456456780104 0.07362501952748439 -0.08322234336319857 -0.14479000640583214,448963.015569 448963.020766 448963.023638 448963.028836 448963.031707 448963.036905 448963.039776 448963.044974 448963.047845 448963.053043 448963.055914 448963.061112 448963.063984 448963.069181 448963.072053 448963.077251 448963.080122 448963.08532 448963.088191 448963.093389 448963.09626 448963.101458 448963.104329 448963.109527 448963.112398 448963.117596 448963.120468 448963.125665 448963.128537 448963.133735 448963.136606 448963.141804 448963.149873 448963.152744 448963.160813
3,448963.37581,0.08069099998101592,448963.456501,171,172,174,0.29744839285527536,0.43551972362008495 0.3821987605464251 0.45947053279326067 0.48510527700095274 0.3587559585670075 0.3506121813144855 0.34804560201819434 0.2216996067445129 0.10529204982867123 0.02173055203406377 -0.0776451401966199 -0.09948452487606094 -0.20268406466050642 -0.2524869463605276 -0.3840038798057801 -0.4717877107203264 -0.36901337639508663 -0.32853518391239056,448963.37581 448963.37868 448963.383879 448963.391948 448963.394819 448963.400017 448963.402888 448963.408086 448963.410957 448963.416155 448963.419026 448963.424225 448963.432294 448963.435164 448963.440363 448963.443234 448963.448432 448963.451303
4,448964.14238,0.1723220000276342,448964.314702,194,196,199,0.3938588530822482,0.4251458510259603 0.4828570162863457 0.4716890686341016 0.530922586192588 0.5637512019639876 0.5823240755033824 0.5787802096019299 0.5991696612132101 0.422858180932549 0.4937424552759537 0.5646061862660009 0.43058274288702725 0.35623112530350515 0.28807834662503495 0.33833004419638596 0.1835098550574943 0.060880236880304084 0.012536074001137315 -0.028490895749584903 -0.0791393463942943 0.0012286712024031784 -0.07460036461936245 -0.22055734367933647 -0.2031407906099128 -0.27810453133843255 -0.35209248884249306 -0.495753862897147 -0.40081799706537863 -0.3674282720503978 -0.4427499717844852 -0.5353425643770777 -0.6129153052674393 -0.6081919066583806 -0.6927887127607094 -0.6386661499990496 -0.5949489362692219 -0.5376140474047755 -0.4722122383216846 -0.3964130777882033 -0.4091543926393131 -0.3887693932762851 -0.32495565061216,448964.14238 448964.145249 448964.150449 448964.153319 448964.158518 448964.161388 448964.166588 448964.169457 448964.174657 448964.177526 448964.182726 448964.185595 448964.190795 448964.193664 448964.198864 448964.201733 448964.206933 448964.209803 448964.215003 448964.217872 448964.223072 448964.225941 448964.231141 448964.23401 448964.23921 448964.242079 448964.247279 448964.250148 448964.255348 448964.258218 448964.263418 448964.271487 448964.274356 448964.279556 448964.282425 448964.287625 448964.290494 448964.295694 448964.298563 448964.303763 448964.306632 448964.311832
5,448965.250723,0.08876000001328066,448965.339483,227,228,230,0.5128597454472366,0.4377864356394167 0.5303790282320093 0.6243956364967205 0.716988229089313 0.7856324039123677 0.7931775867998727 0.8785329116775055 0.9397805364103354 0.9548320668774747 0.8622394742848821 0.7696468816922895 0.6213695827417559 0.5287769901491635 0.4361843975565707 0.3435918049639781 0.2509992123713856 0.17038082866356213 0.24788305548114437 0.1601048735397235 0.08318476487701214 -0.02769051585802697 -0.11935718252469374,448965.250723 448965.255925 448965.258792 448965.263994 448965.266861 448965.272063 448965.27493 448965.280132 448965.282999 448965.288201 448965.291068 448965.29627 448965.299138 448965.30434 448965.307207 448965.312409 448965.315276 448965.320478 448965.323345 448965.328547 448965.331414 448965.336616
6,448966.530852,0.22880099999019876,448966.759653,266,269,272,0.3368418589255096,0.42176960496021537 0.4984823170538513 0.5648872557516662 0.6139846502533876 0.6151365694793032 0.6430958389852631 0.6593011222120532 0.6676447073235301 0.5933066056451056 0.6102878309678996 0.6624774210793427 0.539256662208964 0.46027362575267927 0.3792465307880513 0.3051428243752062 0.23527685367533066 0.2685283613680699 0.2110712498681422 0.09572399188324188 0.04725634804831542 -0.005358318542265546 -0.05207863565875566 -0.16214912606402923 -0.061818361541604756 -0.06181836154160473 -0.06181836154160479 -0.061818361541604694 -0.061818361541604624 -0.1134092072213361 -0.11340920722133602 -0.06616385968813553 -0.06616385968813553 -0.03704866447440093 -0.037048664474400944 -0.028057745325920442 -0.16171821357712016 -0.16171821357712 -0.24009417672636746 -0.331760843393034 -0.4048823646010555 -0.46789853640965134 -0.5446871009327126 -0.5026577450587494 -0.5811002336143045 -0.5514225310864422 -0.6304548627915357 -0.5789171961837496 -0.49869109382277704 -0.5747616155394953 -0.5028858700399198 -0.386715420209052 -0.3132811788170578,448966.530852 448966.533717 448966.538922 448966.541786 448966.546991 448966.549856 448966.55506 448966.557925 448966.563129 448966.565994 448966.571198 448966.574063 448966.579267 448966.582132 448966.587337 448966.590201 448966.595406 448966.59827 448966.603475 448966.611544 448966.614409 448966.619613 448966.622478 448966.627682 448966.630547 448966.635751 448966.638616 448966.646685 448966.65189 448966.654755 448966.659959 448966.668028 448966.670893 448966.676097 448966.678962 448966.687031 448966.692236 448966.6951 448966.700305 448966.703169 448966.708374 448966.711239 448966.716443 448966.719308 448966.724512 448966.727377 448966.735446 448966.740651 448966.743515 448966.74872 448966.751584 448966.756789
7,448966.824207,0.19886399997631088,448967.023071,274,277,280,0.31536291576546294,0.4347550333238046 0.4630073865946532 0.43607534305048945 0.446391985396695 0.45803801552248957 0.4836119016255898 0.41644901812312407 0.45093801509686837 0.3959051403978761 0.4841368883812697 0.42454893842536473 0.2790722139420161 0.22298419353783613 0.13678895919056344 0.15273874555947312 0.07320511947549871 -0.03386757491440159 -0.08909260836541126 -0.08909260836541132 -0.20302692530357486 -0.20302692530357494 -0.3294367625833779 -0.32943676258337784 -0.21772634125466653 -0.2818285494456018 -0.2660010511145084 -0.25757596975704655 -0.2581152096669605 -0.21420600032858544 -0.27445924298020696 -0.3462488266543905 -0.2978868213797026 -0.372044999815134 -0.33834133980085357 -0.41076379234778554 -0.43573075211669693 -0.3865518129057706 -0.3943666763292357 -0.43146474110899175 -0.4183062403625474 -0.39990355671773226 -0.35370079556214473 -0.29461934159416714 -0.2871937009432874 -0.2186683821970739,448966.824207 448966.829411 448966.832276 448966.837481 448966.840345 448966.84555 448966.848414 448966.853619 448966.856483 448966.861688 448966.864552 448966.869757 448966.872622 448966.877826 448966.885896 448966.88876 448966.893965 448966.896829 448966.902034 448966.904898 448966.910103 448966.912967 448966.918172 448966.921036 448966.926241 448966.929106 448966.934311 448966.94238 448966.945244 448966.953313 448966.958518 448966.961382 448966.966587 448966.969451 448966.974656 448966.97752 448966.982725 448966.98559 448966.993659 448966.998864 448967.001728 448967.006933 448967.009797 448967.015002 448967.017866
8,448967.934887,0.15331399999558926,448968.088201,307,309,312,0.6067065302312119,0.45648142039243905 0.5054434071147749 0.5980359997073673 0.6720963492600872 0.7646889418526797 0.7842675665073788 0.8750083072481195 0.9222141365617741 0.8296215439691815 0.7370289513765891 0.6444363587839964 0.7015191687526813 0.6089265761600886 0.6056677039963358 0.5130751114037434 0.4297486403310872 0.2795058204159769 0.22342021179233099 0.04008687845899766 -0.12147899916079247 -0.21407159175338508 -0.3044660809445817 -0.3970586735371742 -0.5558610736622985 -0.6484536662548912 -0.7851024363624882 -0.8776950289550809 -0.9702876215476733 -0.9475797594952304 -1.033474931367122 -0.9427341906263815 -0.8487479935344665 -0.756155400941874 -0.6679590151520732 -0.5742564736947912 -0.49891966859841225 -0.4053218381527339 -0.31395061095897225,448967.934887 448967.937749 448967.942956 448967.945818 448967.951025 448967.953887 448967.959094 448967.961957 448967.967163 448967.970026 448967.975233 448967.978095 448967.983302 448967.986164 448967.991371 448967.994233 448967.99944 448968.002302 448968.007509 448968.010371 448968.015578 448968.018441 448968.023648 448968.02651 448968.031717 448968.034579 448968.039786 448968.042648 448968.047855 448968.050717 448968.055924 448968.058786 448968.063993 448968.066855 448968.072063 448968.074925 448968.080132 448968.082994
9,448968.510659,0.18272899999283254,448968.693388,325,327,330,0.3703410464135786,0.43623216824145244 0.528824760834045 0.5949181935165769 0.6875107861091694 0.6572205702409282 0.7498131628335207 0.7249045087177025 0.7476338459331261 0.6999936966929856 0.706398478723965 0.5559581986397082 0.4633656060471155 0.31051789480247527 0.21792530220988268 0.14169515594308674 0.04910256335049416 0.14615339394571816 0.05356080135312549 0.06308570123206966 -0.05234152313583692 -0.07565374781772444 -0.12515243512951038 -0.03056284410320427 -0.11836895980576992 0.01903513234598642 -0.06036860252344054 -0.13606052136611715 -0.2146824585350861 -0.37859308114577656 -0.45608204991548573 -0.48415469593944954 -0.45372148338312923 -0.4077078436545874 -0.48521260765516205 -0.5756558953897942 -0.48779868289885014 -0.6396116630291384 -0.5645120844189655 -0.4985440427309495 -0.42668606824583477 -0.3594950105108155 -0.2918979458038013 -0.26881107416329486 -0.24306739614654957 -0.27675444944963035,448968.510659 448968.515867 448968.518728 448968.523936 448968.526797 448968.532005 448968.534866 448968.540074 448968.542935 448968.548143 448968.551004 448968.556212 448968.559073 448968.564282 448968.567143 448968.572351 448968.575212 448968.58042 448968.583281 448968.588489 448968.59135 448968.596558 448968.599419 448968.604627 448968.607488 448968.612696 448968.615558 448968.620766 448968.623627 448968.628835 448968.631696 448968.636904 448968.639765 448968.644973 448968.647834 448968.653042 448968.655903 448968.661112 448968.663972 448968.669181 448968.672042 448968.67725 448968.680111 448968.685319 448968.68818
10,448968.833425,0.23114499996881932,448969.06457,334,337,341,0.34090777720994087,0.43437592324600416 0.49849340676474574 0.5646229609658013 0.6148378101022949 0.6840063954204013 0.7863805747499075 0.696134401783127 0.614418486844942 0.5230682592505665 0.5669208890499094 0.6618477302206088 0.5422496417795373 0.5446960426780115 0.40377048515294184 0.32446303937957 0.22684703907163908 0.1459664501162897 0.055718888665143594 0.05571888866514363 0.05571888866514356 0.05571888866514353 -0.08317514375490487 -0.17484181042157138 -0.11614717680081475 -0.1615995734276405 -0.029982097988639496 -0.029982097988639517 0.02882612939147729 0.02882612939147724 -0.03915500919217964 -0.039155009192179645 -0.08027516914932348 -0.1719418358159902 -0.018210488050282234 -0.096227708503262 -0.06896993047682243 -0.14369369076378938 -0.3011690951499565 -0.38217910344974876 -0.48550209396436256 -0.5652594444268171 -0.49979811507048894 -0.5806658393566744 -0.5813224452273099 -0.4773778959316724 -0.6391847196762506 -0.5628687923915155 -0.6864809694323573 -0.6167602243456874 -0.5100969637091812 -0.4282805873498068 -0.3699199632572103 -0.2904152868180662 -0.3083655780112304 -0.23514270683129646 -0.20306160781118618,448968.833425 448968.838633 448968.841494 448968.846702 448968.849563 448968.854771 448968.857632 448968.862841 448968.865701 448968.87091 448968.87377 448968.878979 448968.881839 448968.887048 448968.889909 448968.895117 448968.897978 448968.903186 448968.906047 448968.911256 448968.914116 448968.922185 448968.927394 448968.930254 448968.935463 448968.938323 448968.943532 448968.946393 448968.951601 448968.954462 448968.959671 448968.962531 448968.96774 448968.9706 448968.975809 448968.978669 448968.983878 448968.986738 448968.991947 448968.994807 448969.000016 448969.002877 448969.008085 448969.010946 448969.016155 448969.019015 448969.024224 448969.027084 448969.032293 448969.035153 448969.040362 448969.043222 448969.048431 448969.051292 448969.0565 448969.059361
