# timestamps [seconds],pts
448957.645218,0
448957.678735,2196
448957.712253,4393
448957.745770,6589
448957.779288,8786
448957.812805,10982
448957.846322,13179
448957.879840,15375
448957.913357,17572
448957.946874,19769
448957.980392,21965
448958.013909,24162
448958.047427,26358
448958.080944,28555
448958.114461,30751
448958.147979,32948
448958.181496,35144
448958.215014,37341
448958.248531,39538
448958.282048,41734
448958.315566,43931
448958.349083,46127
448958.382601,48324
448958.416118,50520
448958.449635,52717
448958.483153,54914
448958.516670,57110
448958.550187,59307
448958.583705,61503
448958.617222,63700
448958.650740,65896
448958.684257,68093
448958.717774,70289
448958.751292,72486
448958.784809,74683
448958.818327,76879
448958.851844,79076
448958.885361,81272
448958.918879,83469
448958.952396,85665
448958.985913,87862
448959.019431,90059
448959.052948,92255
448959.086466,94452
448959.119983,96648
448959.153500,98845
448959.187018,101041
448959.220535,103238
448959.254053,105435
448959.287570,107631
448959.321087,109828
448959.354605,112024
448959.388122,114221
448959.421640,116417
448959.455157,118614
448959.488674,120810
448959.522192,123007
448959.555709,125204
448959.589226,127400
448959.622744,129597
448959.656261,131793
448959.689779,133990
448959.723296,136186
448959.756813,138383
448959.790331,140579
448959.823848,142776
448959.857366,144973
448959.890883,147169
448959.924400,149366
448959.957918,151562
448959.991435,153759
448960.024952,155955
448960.058470,158152
448960.091987,160349
448960.125505,162545
448960.159022,164742
448960.192539,166938
448960.226057,169135
448960.259574,171331
448960.293092,173528
448960.326609,175724
448960.360126,177921
448960.393644,180118
448960.427161,182314
448960.460679,184511
448960.494196,186707
448960.527713,188904
448960.561231,191100
448960.594748,193297
448960.628265,195493
448960.661783,197690
448960.695300,199887
448960.728818,202083
448960.762335,204280
448960.795852,206476
448960.829370,208673
448960.862887,210869
448960.896405,213066
448960.929922,215263
448960.963439,217459
448960.996957,219656
448961.030474,221852
448961.063991,224049
448961.097509,226245
448961.131026,228442
448961.164544,230639
448961.198061,232835
448961.231578,235032
448961.265096,237228
448961.298613,239425
448961.332131,241621
448961.365648,243818
448961.399165,246014
448961.432683,248211
448961.466200,250408
448961.499718,252604
448961.533235,254801
448961.566752,256997
448961.600270,259194
448961.633787,261390
448961.667304,263587
448961.700822,265784
448961.734339,267980
448961.767857,270177
448961.801374,272373
448961.834891,274570
448961.868409,276766
448961.901926,278963
448961.935444,281159
448961.968961,283356
448962.002478,285553
448962.035996,287749
448962.069513,289946
448962.103030,292142
448962.136548,294339
448962.170065,296535
448962.203583,298732
448962.237100,300928
448962.270617,303125
448962.304135,305322
448962.337652,307518
448962.371170,309715
448962.404687,311911
448962.438204,314108
448962.471722,316304
448962.505239,318501
448962.538757,320698
448962.572274,322894
448962.605791,325091
448962.639309,327287
448962.672826,329484
448962.706343,331680
448962.739861,333877
448962.773378,336073
448962.806896,338270
448962.840413,340467
448962.873930,342663
448962.907448,344860
448962.940965,347056
448962.974483,349253
448963.008000,351449
448963.041517,353646
448963.075035,355843
448963.108552,358039
448963.142069,360236
448963.175587,362432
448963.209104,364629
448963.242622,366825
448963.276139,369022
448963.309656,371218
448963.343174,373415
448963.376691,375612
448963.410209,377808
448963.443726,380005
448963.477243,382201
448963.510761,384398
448963.544278,386594
448963.577796,388791
448963.611313,390988
448963.644830,393184
448963.678348,395381
448963.711865,397577
448963.745382,399774
448963.778900,401970
448963.812417,404167
448963.845935,406363
448963.879452,408560
448963.912969,410757
448963.946487,412953
448963.980004,415150
448964.013522,417346
448964.047039,419543
448964.080556,421739
448964.114074,423936
448964.147591,426133
448964.181108,428329
448964.214626,430526
448964.248143,432722
448964.281661,434919
448964.315178,437115
448964.348695,439312
448964.382213,441508
448964.415730,443705
448964.449248,445902
448964.482765,448098
448964.516282,450295
448964.549800,452491
448964.583317,454688
448964.616835,456884
448964.650352,459081
448964.683869,461277
448964.717387,463474
448964.750904,465671
448964.784421,467867
448964.817939,470064
448964.851456,472260
448964.884974,474457
448964.918491,476653
448964.952008,478850
448964.985526,481047
448965.019043,483243
448965.052561,485440
448965.086078,487636
448965.119595,489833
448965.153113,492029
448965.186630,494226
448965.220148,496423
448965.253665,498619
448965.287182,500816
448965.320700,503012
448965.354217,505209
448965.387734,507405
448965.421252,509602
448965.454769,511798
448965.488287,513995
448965.521804,516192
448965.555321,518388
448965.588839,520585
448965.622356,522781
448965.655874,524978
448965.689391,527174
448965.722908,529371
448965.756426,531568
448965.789943,533764
448965.823460,535961
448965.856978,538157
448965.890495,540354
448965.924013,542550
448965.957530,544747
448965.991047,546943
448966.024565,549140
448966.058082,551337
448966.091600,553533
448966.125117,555730
448966.158634,557926
448966.192152,560123
448966.225669,562319
448966.259187,564516
448966.292704,566712
448966.326221,568909
448966.359739,571106
448966.393256,573302
448966.426773,575499
448966.460291,577695
448966.493808,579892
448966.527326,582088
448966.560843,584285
448966.594360,586482
448966.627878,588678
448966.661395,590875
448966.694913,593071
448966.728430,595268
448966.761947,597464
448966.795465,599661
448966.828982,601857
448966.862499,604054
448966.896017,606251
448966.929534,608447
448966.963052,610644
448966.996569,612840
448967.030086,615037
448967.063604,617233
448967.097121,619430
448967.130639,621627
448967.164156,623823
448967.197673,626020
448967.231191,628216
448967.264708,630413
448967.298226,632609
448967.331743,634806
448967.365260,637002
448967.398778,639199
448967.432295,641396
448967.465812,643592
448967.499330,645789
448967.532847,647985
448967.566365,650182
448967.599882,652378
448967.633399,654575
448967.666917,656772
448967.700434,658968
448967.733952,661165
448967.767469,663361
448967.800986,665558
448967.834504,667754
448967.868021,669951
448967.901538,672147
448967.935056,674344
448967.968573,676541
448968.002091,678737
448968.035608,680934
448968.069125,683130
448968.102643,685327
448968.136160,687523
448968.169678,689720
448968.203195,691917
448968.236712,694113
448968.270230,696310
448968.303747,698506
448968.337265,700703
448968.370782,702899
448968.404299,705096
448968.437817,707292
448968.471334,709489
448968.504851,711686
448968.538369,713882
448968.571886,716079
448968.605404,718275
448968.638921,720472
448968.672438,722668
448968.705956,724865
448968.739473,727062
448968.772991,729258
448968.806508,731455
448968.840025,733651
448968.873543,735848
448968.907060,738044
448968.940577,740241
448968.974095,742437
448969.007612,744634
448969.041130,746831
448969.074647,749027
448969.108164,751224
448969.141682,753420
448969.175199,755617
448969.208717,757813
448969.242234,760010
448969.275751,762206
448969.309269,764403
448969.342786,766600
448969.376304,768796
448969.409821,770993
448969.443338,773189
448969.476856,775386
448969.510373,777582
448969.543890,779779
448969.577408,781976
448969.610925,784172
448969.644443,786369
448969.677960,788565
448969.711477,790762
448969.744995,792958
448969.778512,795155
448969.812030,797352
448969.845547,799548
448969.879064,801745
448969.912582,803941
448969.946099,806138
448969.979616,808334
448970.013134,810531
448970.046651,812727
448970.080169,814924
448970.113686,817121
448970.147203,819317
448970.180721,821514
448970.214238,823710
448970.247756,825907
448970.281273,828103
448970.314790,830300
448970.348308,832497
448970.381825,834693
448970.415343,836890
448970.448860,839086
448970.482377,841283
448970.515895,843479
448970.549412,845676
448970.582929,847872
448970.616447,850069
448970.649964,852266
448970.683482,854462
448970.716999,856659
448970.750516,858855
448970.784034,861052
448970.817551,863248
448970.851069,865445
448970.884586,867641
448970.918103,869838
448970.951621,872035
448970.985138,874231
448971.018655,876428
448971.052173,878624
448971.085690,880821
448971.119208,883017
448971.152725,885214
448971.186242,887411
448971.219760,889607
448971.253277,891804
448971.286795,894000
448971.320312,896197
448971.353829,898393
448971.387347,900590
448971.420864,902786
448971.454382,904983
448971.487899,907180
448971.521416,909376
448971.554934,911573
448971.588451,913769
448971.621968,915966
448971.655486,918162
448971.689003,920359
448971.722521,922556
448971.756038,924752
448971.789555,926949
448971.823073,929145
448971.856590,931342
448971.890108,933538
448971.923625,935735
448971.957142,937931
448971.990660,940128
448972.024177,942325
448972.057695,944521
448972.091212,946718
448972.124729,948914
448972.158247,951111
448972.191764,953307
448972.225281,955504
448972.258799,957701
448972.292316,959897
448972.325834,962094
448972.359351,964290
448972.392868,966487
448972.426386,968683
448972.459903,970880
448972.493421,973076
448972.526938,975273
448972.560455,977470
448972.593973,979666
448972.627490,981863
448972.661007,984059
448972.694525,986256
448972.728042,988452
448972.761560,990649
448972.795077,992846
448972.828594,995042
448972.862112,997239
448972.895629,999435
448972.929147,1001632
448972.962664,1003828
448972.996181,1006025
448973.029699,1008221
448973.063216,1010418
448973.096734,1012615
448973.130251,1014811
448973.163768,1017008
448973.197286,1019204
448973.230803,1021401
448973.264320,1023597
448973.297838,1025794
448973.331355,1027990
448973.364873,1030187
448973.398390,1032384
448973.431907,1034580
448973.465425,1036777
448973.498942,1038973
448973.532460,1041170
448973.565977,1043366
448973.599494,1045563
448973.633012,1047760
448973.666529,1049956
448973.700046,1052153
448973.733564,1054349
448973.767081,1056546
448973.800599,1058742
448973.834116,1060939
448973.867633,1063135
448973.901151,1065332
448973.934668,1067529
448973.968186,1069725
448974.001703,1071922
448974.035220,1074118
448974.068738,1076315
448974.102255,1078511
448974.135773,1080708
448974.169290,1082905
448974.202807,1085101
448974.236325,1087298
448974.269842,1089494
448974.303359,1091691
448974.336877,1093887
448974.370394,1096084
448974.403912,1098281
448974.437429,1100477
448974.470946,1102674
448974.504464,1104870
448974.537981,1107067
448974.571499,1109263
