# timestamps [seconds],pts
448957.646704,66
448957.654773,595
448957.662842,1123
448957.670911,1652
448957.678980,2181
448957.687049,2710
448957.695119,3239
448957.703188,3768
448957.711257,4296
448957.719326,4825
448957.727395,5354
448957.735464,5883
448957.743534,6412
448957.751603,6940
448957.759672,7469
448957.775810,8527
448957.783879,9056
448957.791949,9585
448957.800018,10113
448957.808087,10642
448957.816156,11171
448957.824225,11700
448957.832294,12229
448957.840364,12757
448957.848433,13286
448957.856502,13815
448957.864571,14344
448957.872640,14873
448957.880709,15401
448957.888779,15930
448957.896848,16459
448957.904917,16988
448957.912986,17517
448957.921055,18045
448957.929124,18574
448957.937194,19103
448957.945263,19632
448957.953332,20161
448957.961401,20690
448957.969470,21218
448957.977539,21747
448957.985609,22276
448957.993678,22805
448958.001747,23334
448958.009816,23862
448958.017885,24391
448958.025954,24920
448958.034024,25449
448958.042093,25978
448958.050162,26507
448958.058231,27035
448958.066300,27564
448958.074369,28093
448958.082438,28622
448958.090508,29151
448958.098577,29679
448958.106646,30208
448958.114715,30737
448958.122784,31266
448958.130853,31795
448958.138923,32323
448958.146992,32852
448958.155061,33381
448958.163130,33910
448958.171199,34439
448958.179268,34967
448958.187338,35496
448958.195407,36025
448958.203476,36554
448958.211545,37083
448958.219614,37612
448958.235753,38669
448958.243822,39198
448958.251891,39727
448958.259960,40256
448958.268029,40784
448958.276098,41313
448958.284168,41842
448958.292237,42371
448958.308375,43428
448958.316444,43957
448958.324513,44486
448958.332582,45015
448958.340652,45544
448958.348721,46073
448958.356790,46601
448958.364859,47130
448958.372928,47659
448958.380998,48188
448958.389067,48717
448958.397136,49245
448958.405205,49774
448958.413274,50303
448958.421343,50832
448958.429412,51361
448958.437482,51890
448958.445551,52418
448958.453620,52947
448958.461689,53476
448958.469758,54005
448958.477827,54534
448958.485897,55062
448958.493966,55591
448958.502035,56120
448958.510104,56649
448958.518173,57178
448958.526242,57706
448958.534312,58235
448958.542381,58764
448958.550450,59293
448958.558519,59822
448958.566588,60350
448958.574657,60879
448958.582727,61408
448958.590796,61937
448958.598865,62466
448958.606934,62995
448958.615003,63523
448958.623072,64052
448958.631142,64581
448958.639211,65110
448958.647280,65639
448958.655349,66167
448958.663418,66696
448958.671487,67225
448958.679557,67754
448958.687626,68283
448958.695695,68812
448958.703764,69340
448958.711833,69869
448958.719902,70398
448958.727972,70927
448958.736041,71456
448958.744110,71984
448958.752179,72513
448958.760248,73042
448958.768317,73571
448958.776386,74100
448958.784456,74628
448958.792525,75157
448958.800594,75686
448958.816732,76744
448958.824801,77272
448958.865147,79917
448958.873216,80445
448958.881286,80974
448958.889355,81503
448958.897424,82032
448958.913562,83089
448958.921631,83618
448958.929701,84147
448958.937770,84676
448958.953908,85733
448958.961977,86262
448958.970046,86791
448958.978116,87320
448958.994254,88378
448959.002323,88906
448959.010392,89435
448959.018461,89964
448959.026531,90493
448959.042669,91550
448959.050738,92079
448959.058807,92608
448959.066876,93137
448959.074946,93666
448959.083015,94195
448959.091084,94723
448959.099153,95252
448959.107222,95781
448959.115291,96310
448959.123361,96839
448959.131430,97367
448959.139499,97896
448959.147568,98425
448959.155637,98954
448959.163706,99483
448959.171776,100011
448959.179845,100540
448959.187914,101069
448959.204052,102127
448959.212121,102655
448959.220190,103184
448959.228260,103713
448959.236329,104242
448959.244398,104771
448959.252467,105300
448959.260536,105828
448959.268605,106357
448959.284744,107415
448959.292813,107944
448959.300882,108472
448959.308951,109001
448959.317020,109530
448959.325090,110059
448959.333159,110588
448959.341228,111117
448959.357366,112174
448959.365435,112703
448959.373505,113232
448959.381574,113761
448959.389643,114289
448959.397712,114818
448959.405781,115347
448959.413850,115876
448959.421920,116405
448959.429989,116933
448959.438058,117462
448959.446127,117991
448959.454196,118520
448959.462265,119049
448959.470335,119578
448959.478404,120106
448959.486473,120635
448959.494542,121164
448959.502611,121693
448959.510680,122222
448959.518749,122750
448959.526819,123279
448959.534888,123808
448959.542957,124337
448959.551026,124866
448959.559095,125394
448959.567165,125923
448959.575234,126452
448959.583303,126981
448959.591372,127510
448959.599441,128039
448959.607510,128567
448959.615579,129096
448959.623649,129625
448959.631718,130154
448959.639787,130683
448959.647856,131211
448959.655925,131740
448959.663994,132269
448959.672064,132798
448959.680133,133327
448959.688202,133855
448959.696271,134384
448959.704340,134913
448959.712409,135442
448959.720479,135971
