# timestamps [seconds],pts
448957.649585,262
448957.657654,790
448957.665723,1319
448957.673793,1848
448957.681862,2377
448957.689931,2906
448957.698000,3435
448957.706069,3963
448957.714138,4492
448957.722208,5021
448957.730277,5550
448957.738346,6079
448957.746415,6607
448957.754484,7136
448957.762553,7665
448957.770622,8194
448957.778692,8723
448957.786761,9252
448957.794830,9780
448957.802899,10309
448957.810968,10838
448957.819037,11367
448957.827106,11896
448957.835176,12424
448957.843245,12953
448957.851314,13482
448957.859383,14011
448957.867452,14540
448957.875521,15068
448957.883590,15597
448957.891660,16126
448957.899729,16655
448957.907798,17184
448957.915867,17712
448957.923936,18241
448957.932005,18770
448957.940074,19299
448957.948144,19828
448957.956213,20357
448957.964282,20885
448957.972351,21414
448957.980420,21943
448957.988489,22472
448957.996559,23001
448958.004628,23529
448958.012697,24058
448958.020766,24587
448958.028835,25116
448958.036904,25645
448958.044973,26173
448958.053043,26702
448958.061112,27231
448958.069181,27760
448958.077250,28289
448958.085319,28818
448958.093388,29346
448958.101457,29875
448958.109527,30404
448958.117596,30933
448958.125665,31462
448958.133734,31990
448958.141803,32519
448958.149872,33048
448958.157942,33577
448958.166011,34106
448958.174080,34634
448958.182149,35163
448958.190218,35692
448958.198287,36221
448958.206356,36750
448958.214426,37279
448958.222495,37807
448958.230564,38336
448958.238633,38865
448958.246702,39394
448958.254771,39923
448958.262840,40451
448958.270910,40980
448958.278979,41509
448958.287048,42038
448958.295117,42567
448958.303186,43095
448958.311255,43624
448958.319324,44153
448958.327394,44682
448958.335463,45211
448958.343532,45740
448958.351601,46268
448958.359670,46797
448958.367739,47326
448958.375808,47855
448958.391947,48912
448958.400016,49441
448958.408085,49970
448958.416154,50499
448958.432292,51556
448958.440362,52085
448958.456500,53143
448958.464569,53672
448958.472638,54200
448958.480707,54729
448958.488777,55258
448958.496846,55787
448958.504915,56316
448958.512984,56845
448958.521053,57373
448958.529122,57902
448958.537191,58431
448958.545261,58960
448958.553330,59489
448958.561399,60017
448958.569468,60546
448958.577537,61075
448958.585606,61604
448958.593675,62133
448958.601745,62661
448958.609814,63190
448958.617883,63719
448958.625952,64248
448958.634021,64777
448958.642090,65306
448958.650159,65834
448958.658229,66363
448958.666298,66892
448958.674367,67421
448958.682436,67950
448958.690505,68478
448958.698574,69007
448958.706644,69536
448958.714713,70065
448958.722782,70594
448958.730851,71122
448958.738920,71651
448958.746989,72180
448958.755058,72709
448958.763128,73238
448958.771197,73767
448958.779266,74295
448958.787335,74824
448958.795404,75353
448958.819612,76939
448958.827681,77468
448958.868027,80112
448958.876096,80641
448958.884165,81170
448958.908372,82756
448958.924511,83814
448958.932580,84343
448958.940649,84872
448958.948718,85400
448958.956787,85929
448958.972925,86987
448958.980995,87516
448958.989064,88044
448958.997133,88573
448959.005202,89102
448959.013271,89631
448959.021340,90160
448959.029409,90688
448959.037479,91217
448959.045548,91746
448959.053617,92275
448959.061686,92804
448959.069755,93333
448959.077824,93861
448959.085894,94390
448959.093963,94919
448959.102032,95448
448959.110101,95977
448959.118170,96505
448959.126239,97034
448959.134308,97563
448959.142378,98092
448959.150447,98621
448959.158516,99149
448959.166585,99678
448959.174654,100207
448959.182723,100736
448959.190792,101265
448959.198862,101794
448959.206931,102322
448959.215000,102851
448959.223069,103380
448959.231138,103909
448959.239207,104438
448959.247276,104966
448959.255346,105495
448959.263415,106024
448959.271484,106553
448959.279553,107082
448959.287622,107610
448959.295691,108139
448959.303761,108668
448959.311830,109197
448959.319899,109726
448959.327968,110255
448959.336037,110783
448959.344106,111312
448959.352175,111841
448959.360245,112370
448959.368314,112899
448959.376383,113427
448959.384452,113956
448959.392521,114485
448959.400590,115014
448959.408659,115543
448959.416729,116071
448959.424798,116600
448959.432867,117129
448959.440936,117658
448959.449005,118187
448959.457074,118715
448959.465143,119244
448959.473213,119773
448959.481282,120302
448959.489351,120831
448959.497420,121360
448959.505489,121888
448959.513558,122417
448959.521628,122946
448959.529697,123475
448959.537766,124004
448959.545835,124532
448959.553904,125061
448959.561973,125590
448959.570042,126119
448959.578112,126648
448959.586181,127177
448959.594250,127705
448959.602319,128234
448959.610388,128763
448959.618457,129292
448959.626526,129821
448959.634596,130349
448959.642665,130878
448959.650734,131407
448959.658803,131936
448959.666872,132465
448959.674941,132993
448959.683011,133522
448959.691080,134051
448959.699149,134580
448959.707218,135109
448959.715287,135637
448959.723356,136166
448959.731425,136695
448959.739495,137224
448959.747564,137753
448959.755633,138282
448959.763702,138810
448959.771771,139339
448959.779840,139868
448959.787909,140397
448959.795979,140926
448959.804048,141454
448959.812117,141983
448959.820186,142512
448959.828255,143041
448959.836324,143570
448959.844393,144098
448959.852463,144627
448959.860532,145156
448959.868601,145685
448959.876670,146214
448959.884739,146743
448959.892808,147271
448959.900878,147800
448959.908947,148329
448959.917016,148858
448959.925085,149387
448959.933154,149915
448959.941223,150444
448959.949292,150973
448959.957362,151502
448959.965431,152031
448959.973500,152559
448959.981569,153088
448959.989638,153617
448959.997707,154146
448960.005776,154675
448960.013846,155204
448960.021915,155732
448960.029984,156261
448960.038053,156790
448960.046122,157319
448960.054191,157848
448960.062260,158376
448960.070330,158905
448960.078399,159434
448960.086468,159963
448960.094537,160492
448960.102606,161020
448960.110675,161549
448960.118745,162078
448960.126814,162607
448960.134883,163136
448960.142952,163664
448960.151021,164193
448960.159090,164722
448960.167159,165251
448960.183298,166309
448960.191367,166837
448960.199436,167366
448960.207505,167895
448960.215574,168424
448960.223643,168953
448960.231713,169481
448960.239782,170010
448960.247851,170539
448960.255920,171068
448960.263989,171597
448960.272058,172125
448960.280127,172654
448960.288197,173183
448960.296266,173712
448960.304335,174241
448960.312404,174770
448960.320473,175298
448960.328542,175827
448960.336612,176356
448960.344681,176885
448960.352750,177414
448960.360819,177942
448960.368888,178471
448960.376957,179000
448960.385026,179529
448960.393096,180058
448960.401165,180586
448960.409234,181115
448960.417303,181644
448960.425372,182173
448960.433441,182702
448960.441510,183230
448960.449580,183759
448960.457649,184288
448960.465718,184817
448960.473787,185346
448960.481856,185875
448960.489925,186403
448960.497994,186932
448960.506064,187461
448960.514133,187990
448960.522202,188519
448960.530271,189047
448960.538340,189576
448960.546409,190105
448960.554478,190634
448960.562548,191163
448960.570617,191692
448960.578686,192220
448960.586755,192749
448960.594824,193278
448960.602893,193807
448960.610963,194336
448960.619032,194864
448960.627101,195393
448960.635170,195922
448960.643239,196451
448960.651308,196980
448960.659377,197508
448960.667447,198037
448960.675516,198566
448960.683585,199095
448960.691654,199624
448960.699723,200152
448960.707792,200681
448960.715861,201210
448960.723931,201739
448960.732000,202268
448960.740069,202797
448960.748138,203325
448960.756207,203854
448960.764276,204383
448960.772345,204912
448960.780415,205441
448960.788484,205969
448960.796553,206498
448960.804622,207027
448960.812691,207556
448960.820760,208085
448960.828830,208614
448960.836899,209142
448960.844968,209671
448960.853037,210200
448960.861106,210729
448960.869175,211258
448960.877244,211786
448960.885314,212315
448960.893383,212844
448960.901452,213373
448960.909521,213902
448960.917590,214430
448960.925659,214959
448960.933728,215488
448960.941798,216017
448960.949867,216546
448960.957936,217074
448960.966005,217603
448960.974074,218132
448960.982143,218661
448960.990212,219190
448960.998282,219719
448961.006351,220247
448961.014420,220776
448961.022489,221305
448961.030558,221834
448961.038627,222363
448961.046697,222891
448961.054766,223420
448961.062835,223949
448961.070904,224478
448961.078973,225007
448961.087042,225535
448961.095111,226064
448961.103181,226593
448961.111250,227122
448961.119319,227651
448961.127388,228180
448961.135457,228708
