# timestamps [seconds],pts
0.068685,1704
0.078047,2318
0.085078,2779
0.096755,3544
0.105732,4132
0.110046,4415
0.116785,4857
0.125227,5410
0.132394,5880
0.141336,6466
0.148568,6939
0.156869,7483
0.165166,8027
0.173743,8589
0.180721,9047
0.190609,9695
0.197361,10137
0.206563,10740
0.212716,11143
0.221103,11693
0.230004,12276
0.238504,12833
0.245375,13284
0.254219,13863
0.261144,14317
0.272302,15048
0.276863,15347
0.284513,15849
0.292532,16374
0.300501,16896
0.308717,17435
0.316721,17959
0.325106,18509
0.332411,18988
0.344766,19797
0.354156,20413
0.365339,21146
0.370744,21500
0.376848,21900
0.384473,22400
0.392517,22927
0.400545,23453
0.408895,24000
0.416568,24503
0.424621,25031
0.432622,25555
0.440581,26077
0.448678,26607
0.456781,27138
0.465126,27685
0.472834,28190
0.480555,28696
0.488636,29226
0.496629,29750
0.505159,30309
0.512638,30799
0.520676,31326
0.528641,31848
0.536511,32363
0.544450,32884
0.552785,33430
0.560455,33933
0.568621,34468
0.576477,34983
0.585184,35553
0.592472,36031
0.600482,36556
0.608499,37081
0.616448,37602
0.626162,38239
0.633402,38713
0.640730,39193
0.648639,39712
0.657161,40270
0.665276,40802
0.672810,41296
0.680463,41797
0.689051,42360
0.697375,42906
0.705174,43417
0.712548,43900
0.720673,44432
0.728499,44945
0.737627,45543
0.745245,46043
0.752565,46522
0.760511,47043
0.768512,47568
0.776716,48105
0.785127,48656
0.792425,49135
0.800863,49688
0.812607,50457
0.820482,50973
0.828532,51501
0.836770,52041
0.844771,52565
0.852448,53068
0.860571,53601
0.869068,54157
